,hashtag,sentiment,sentiment_count,freq
0,russia,neutral,60,0.974342318934719
1,russia,positive,902,14.64761286131861
2,russia,negative,44,0.7145177005521274
3,ukraine,negative,38,0.6170834686586554
4,ukraine,neutral,47,0.7632348164988633
5,ukraine,positive,590,9.58103280285807
6,putin,neutral,36,0.5846053913608315
7,putin,negative,29,0.47093212081844754
8,putin,positive,143,2.3221825267944136
9,usa,negative,1,0.016239038648911984
10,usa,positive,84,1.3640792465086067
11,news,positive,82,1.3316011692107828
12,ucrania,positive,3,0.04871711594673595
13,ucrania,negative,38,0.6170834686586554
14,ucrania,neutral,37,0.6008444300097434
15,russiaukrainewar,positive,75,1.2179278986683988
16,russiaukrainewar,neutral,2,0.03247807729782397
17,ukrainerussiawar,negative,1,0.016239038648911984
18,ukrainerussiawar,positive,72,1.169210782721663
19,ukrainerussiawar,neutral,2,0.03247807729782397
20,war,neutral,1,0.016239038648911984
21,war,positive,69,1.120493666774927
22,war,negative,2,0.03247807729782397
23,nato,positive,71,1.152971744072751
